Segment,Deals Option Selected,Location Picked,Recommendations viewed,Deal Details Loaded,Offer added,Deal Selected,Payment Options Viewed,Succesful Payment,Order Completed
$overall,135,124,108,65,29,22,12,3,3
5.15073E+13,1,1,1,0,0,0,0,0,0
03e1507305802030,1,1,1,1,1,1,1,0,0
7.71507E+14,1,1,1,1,0,0,0,0,0
0c21507304696213,1,1,1,0,0,0,0,0,0
1.04151E+15,1,1,1,0,0,0,0,0,0
1.24151E+15,1,1,1,1,0,0,0,0,0
1a11507263770519,1,1,1,0,0,0,0,0,0
1a31507258322821,1,0,0,0,0,0,0,0,0
2.16151E+15,1,1,0,0,0,0,0,0,0
2.17151E+15,1,1,1,0,0,0,0,0,0
22a1507306338671,1,1,1,1,1,0,0,0,0
2.35151E+15,1,1,1,0,0,0,0,0,0
27e1507311286623,1,1,1,1,0,0,0,0,0
28b1507273433155,1,1,1,1,0,0,0,0,0
2.93151E+15,1,1,1,1,0,0,0,0,0
2.95151E+15,1,1,1,1,1,1,0,0,0
2ac1507272951321,1,1,1,1,0,0,0,0,0
2da1507264465398,1,1,1,1,0,0,0,0,0
3.86151E+15,1,1,1,1,0,0,0,0,0
3d21507279794947,1,1,1,0,0,0,0,0,0
3d51507234194786,1,1,1,1,1,1,1,0,0
3f01507283199425,1,1,1,0,0,0,0,0,0
3f41507228663727,1,1,1,0,0,0,0,0,0
4.17151E+15,1,1,1,0,0,0,0,0,0
42e1507269039067,1,1,1,1,1,1,1,0,0
4.48151E+15,1,1,0,0,0,0,0,0,0
49c1507397517392,1,1,1,0,0,0,0,0,0
4aa1507272694259,1,1,1,1,1,1,0,0,0
4bc1507279862165,1,1,0,0,0,0,0,0,0
4cb1507255673024,1,1,1,1,0,0,0,0,0
4de1507309266077,1,0,0,0,0,0,0,0,0
4f01507353000325,1,1,1,1,1,0,0,0,0
4fd1507268214039,1,1,1,1,0,0,0,0,0
5.05151E+15,1,1,1,1,1,1,0,0,0
5.15151E+15,1,1,1,0,0,0,0,0,0
5.20151E+15,1,1,1,1,1,1,1,1,1
5.40151E+15,1,1,1,1,0,0,0,0,0
54e1507242289262,1,1,0,0,0,0,0,0,0
5.52151E+15,1,1,1,0,0,0,0,0,0
5.52151E+15,1,1,1,0,0,0,0,0,0
5c81507304986885,1,1,1,1,0,0,0,0,0
5c91507285888705,1,1,1,1,0,0,0,0,0
5d21507290038243,1,1,1,0,0,0,0,0,0
5d91507313717989,1,1,1,0,0,0,0,0,0
5f01507262000365,1,1,1,0,0,0,0,0,0
5f11507287916561,1,0,0,0,0,0,0,0,0
6.00151E+15,1,1,1,1,0,0,0,0,0
60d1507277303287,1,1,1,0,0,0,0,0,0
6.22151E+15,1,1,1,0,0,0,0,0,0
63b1507266464185,1,1,1,1,0,0,0,0,0
6.63151E+15,1,1,1,1,1,0,0,0,0
6.68151E+15,1,1,1,1,0,0,0,0,0
67d1507291333789,1,1,1,1,0,0,0,0,0
6.85151E+15,1,0,0,0,0,0,0,0,0
6.93151E+15,1,1,1,0,0,0,0,0,0
6bc1507274468664,1,1,0,0,0,0,0,0,0
6d91507273163348,1,1,1,0,0,0,0,0,0
6dd1507300812194,1,0,0,0,0,0,0,0,0
7.31151E+15,1,1,1,1,1,1,0,0,0
7.36151E+15,1,1,1,1,1,1,1,0,0
7.41151E+15,1,1,0,0,0,0,0,0,0
74a1507297387823,1,1,1,1,0,0,0,0,0
7.58151E+15,1,1,1,1,1,0,0,0,0
75f1507296026837,1,1,1,0,0,0,0,0,0
78b1507303206510,1,1,1,0,0,0,0,0,0
7a71507300988665,1,1,1,1,0,0,0,0,0
7cb1507230464781,1,0,0,0,0,0,0,0,0
7d11507246098821,1,1,0,0,0,0,0,0,0
7e71507275689629,1,1,0,0,0,0,0,0,0
7ed1507258139278,1,1,1,1,1,1,0,0,0
7f21507307643457,1,1,1,1,0,0,0,0,0
8.52151E+15,1,1,1,1,1,1,1,0,0
88f1507256448659,1,1,1,0,0,0,0,0,0
8b21507307523485,1,1,1,1,0,0,0,0,0
